Past,EVT,ACRES
Past Conifer,Agricultural,14316
Past Conifer,Conifer,1509576
Past Conifer,Developed,7049
Past Conifer,Developed,9670
Past Conifer,Exotics,72117
Past Conifer,Grassland,198310
Past Conifer,Hardwood,7412
Past Conifer,Riparian,27854
Past Conifer,Shrubland,141113
Past Grassland,Agricultural,330250
Past Grassland,Conifer,142780
Past Grassland,Developed,30090
Past Grassland,Developed,50467
Past Grassland,Exotics,124039
Past Grassland,Grassland,1494063
Past Grassland,Hardwood,1061
Past Grassland,Riparian,54235
Past Grassland,Shrubland,227253
Past Hardwood,Agricultural,679
Past Hardwood,Conifer,19835
Past Hardwood,Developed,169
Past Hardwood,Developed,319
Past Hardwood,Exotics,1395
Past Hardwood,Grassland,11425
Past Hardwood,Hardwood,5580
Past Hardwood,Riparian,310
Past Hardwood,Shrubland,398
Past Hardwood-Conifer,Agricultural,8
Past Hardwood-Conifer,Conifer,6291
Past Hardwood-Conifer,Developed,37
Past Hardwood-Conifer,Developed,70
Past Hardwood-Conifer,Exotics,1067
Past Hardwood-Conifer,Grassland,13357
Past Hardwood-Conifer,Hardwood,2662
Past Hardwood-Conifer,Riparian,0
Past Hardwood-Conifer,Shrubland,3721
Past Riparian,Agricultural,24065
Past Riparian,Conifer,25668
Past Riparian,Developed,3074
Past Riparian,Developed,4098
Past Riparian,Exotics,9369
Past Riparian,Grassland,69771
Past Riparian,Hardwood,10
Past Riparian,Riparian,46892
Past Riparian,Shrubland,9373
Past Shrubland,Agricultural,7342
Past Shrubland,Conifer,29876
Past Shrubland,Developed,1673
Past Shrubland,Developed,5625
Past Shrubland,Exotics,9028
Past Shrubland,Grassland,57959
Past Shrubland,Hardwood,2267
Past Shrubland,Riparian,16249
Past Shrubland,Shrubland,30872
